Drug,Country,Total_Observed,Total_Predicted
Amikacin_I,Argentina,605,605.0000000000051
Amikacin_I,Australia,54,54.00000000000002
Amikacin_I,Austria,65,64.99999999999997
Amikacin_I,Belgium,268,268.00000000000136
Amikacin_I,Brazil,357,357.00000000000125
Amikacin_I,Canada,37,37.000000000000256
Amikacin_I,Chile,367,367.0000000000017
Amikacin_I,China,1030,1030.0000000000043
Amikacin_I,Colombia,324,324.0000000000014
Amikacin_I,Costa Rica,7,7.000000000000003
Amikacin_I,Croatia,242,242.0000000000015
Amikacin_I,Czech Republic,149,149.00000000000045
Amikacin_I,Denmark,17,17.000000000000114
Amikacin_I,Dominican Republic,6,6.000000000000066
Amikacin_I,Finland,5,5.000000000000015
Amikacin_I,France,325,325.0000000000026
Amikacin_I,Germany,243,243.0000000000015
Amikacin_I,Greece,1023,1023.0000000000013
Amikacin_I,Guatemala,161,161.00000000000065
Amikacin_I,Hong Kong,30,30.000000000000174
Amikacin_I,Hungary,213,213.0000000000012
Amikacin_I,India,406,405.99999999999784
Amikacin_I,Ireland,36,36.0000000000001
Amikacin_I,Israel,211,211.00000000000182
Amikacin_I,Italy,1868,1868.0000000000118
Amikacin_I,Japan,10,9.999999999999993
Amikacin_I,Jordan,57,57.000000000000185
Amikacin_I,Kenya,56,56.00000000000023
Amikacin_I,"Korea, South",298,298.0000000000016
Amikacin_I,Kuwait,304,304.0000000000032
Amikacin_I,Latvia,60,60.00000000000025
Amikacin_I,Lithuania,77,76.99999999999984
Amikacin_I,Malaysia,123,123.00000000000003
Amikacin_I,Mexico,722,722.0000000000028
Amikacin_I,Morocco,85,85.0000000000002
Amikacin_I,Netherlands,23,23.000000000000085
Amikacin_I,Nigeria,103,103.00000000000027
Amikacin_I,Pakistan,81,81.00000000000047
Amikacin_I,Panama,41,41
Amikacin_I,Philippines,181,181.0000000000007
Amikacin_I,Poland,261,261.0000000000007
Amikacin_I,Portugal,308,308.0000000000008
Amikacin_I,Romania,298,298.00000000000045
Amikacin_I,Russia,938,938.0000000000053
Amikacin_I,Saudi Arabia,57,56.99999999999995
Amikacin_I,Serbia,35,35.00000000000023
Amikacin_I,Singapore,24,23.999999999999748
Amikacin_I,South Africa,240,240.00000000000094
Amikacin_I,Spain,495,495.00000000000233
Amikacin_I,Sweden,16,16.000000000000068
Amikacin_I,Switzerland,17,17.000000000000092
Amikacin_I,Taiwan,170,170.00000000000045
Amikacin_I,Thailand,206,206.0000000000009
Amikacin_I,Turkey,350,350.00000000000284
Amikacin_I,Ukraine,72,72.00000000000009
Amikacin_I,United Kingdom,108,108
Amikacin_I,United States,1055,1055.000000000002
Amikacin_I,Venezuela,343,342.99999999999915
Amikacin_I,Vietnam,27,26.999999999999783
Amoxycillin clavulanate_I,Argentina,1429,1428.9999999999736
Amoxycillin clavulanate_I,Australia,763,762.9999999999826
Amoxycillin clavulanate_I,Austria,300,299.9999999999976
Amoxycillin clavulanate_I,Belgium,2231,2230.9999999999873
Amoxycillin clavulanate_I,Brazil,1212,1211.9999999999895
Amoxycillin clavulanate_I,Canada,1262,1261.9999999999898
Amoxycillin clavulanate_I,Chile,982,981.9999999999882
Amoxycillin clavulanate_I,China,2538,2537.999999999984
Amoxycillin clavulanate_I,Colombia,1025,1024.99999999999
Amoxycillin clavulanate_I,Costa Rica,58,57.99999999999915
Amoxycillin clavulanate_I,Croatia,598,597.999999999995
Amoxycillin clavulanate_I,Czech Republic,1227,1226.9999999999893
Amoxycillin clavulanate_I,Denmark,421,420.99999999999494
Amoxycillin clavulanate_I,Dominican Republic,33,32.9999999999997
Amoxycillin clavulanate_I,Finland,167,166.99999999999926
Amoxycillin clavulanate_I,France,3806,3805.99999999997
Amoxycillin clavulanate_I,Germany,3645,3644.9999999999613
Amoxycillin clavulanate_I,Greece,1525,1524.9999999999839
Amoxycillin clavulanate_I,Guatemala,192,191.99999999999858
Amoxycillin clavulanate_I,Hong Kong,233,232.99999999999818
Amoxycillin clavulanate_I,Hungary,911,910.9999999999927
Amoxycillin clavulanate_I,India,525,524.9999999999952
Amoxycillin clavulanate_I,Ireland,547,546.9999999999941
Amoxycillin clavulanate_I,Israel,890,889.9999999999916
Amoxycillin clavulanate_I,Italy,4598,4597.999999999938
Amoxycillin clavulanate_I,Japan,443,442.99999999999693
Amoxycillin clavulanate_I,Jordan,150,149.99999999999847
Amoxycillin clavulanate_I,Kenya,70,69.99999999999889
Amoxycillin clavulanate_I,"Korea, South",869,868.9999999999924
Amoxycillin clavulanate_I,Kuwait,812,811.9999999999918
Amoxycillin clavulanate_I,Latvia,226,225.9999999999989
Amoxycillin clavulanate_I,Lithuania,187,186.9999999999984
Amoxycillin clavulanate_I,Malaysia,235,234.99999999999872
Amoxycillin clavulanate_I,Mexico,1633,1632.9999999999845
Amoxycillin clavulanate_I,Morocco,265,264.9999999999965
Amoxycillin clavulanate_I,Netherlands,611,610.9999999999937
Amoxycillin clavulanate_I,Nigeria,255,254.99999999999685
Amoxycillin clavulanate_I,Pakistan,176,175.99999999999778
Amoxycillin clavulanate_I,Panama,222,221.99999999999818
Amoxycillin clavulanate_I,Philippines,984,983.9999999999909
Amoxycillin clavulanate_I,Poland,748,747.9999999999949
Amoxycillin clavulanate_I,Portugal,1575,1574.9999999999825
Amoxycillin clavulanate_I,Romania,425,424.99999999999727
Amoxycillin clavulanate_I,Russia,1200,1199.9999999999868
Amoxycillin clavulanate_I,Saudi Arabia,133,132.99999999999875
Amoxycillin clavulanate_I,Serbia,46,45.99999999999949
Amoxycillin clavulanate_I,Singapore,120,119.99999999999906
Amoxycillin clavulanate_I,South Africa,989,988.999999999992
Amoxycillin clavulanate_I,Spain,4737,4736.999999999978
Amoxycillin clavulanate_I,Sweden,205,204.99999999999892
Amoxycillin clavulanate_I,Switzerland,542,541.9999999999967
Amoxycillin clavulanate_I,Taiwan,1042,1041.9999999999893
Amoxycillin clavulanate_I,Thailand,806,805.9999999999903
Amoxycillin clavulanate_I,Turkey,923,922.9999999999905
Amoxycillin clavulanate_I,Ukraine,102,101.99999999999878
Amoxycillin clavulanate_I,United Kingdom,1239,1238.999999999985
Amoxycillin clavulanate_I,United States,9942,9941.999999999907
Amoxycillin clavulanate_I,Venezuela,844,843.9999999999906
Amoxycillin clavulanate_I,Vietnam,43,43.00000000000004
Ampicillin_I,Argentina,2739,2738.9999999999927
Ampicillin_I,Australia,1865,1864.9999999999925
Ampicillin_I,Austria,794,793.9999999999966
Ampicillin_I,Belgium,4669,4668.999999999991
Ampicillin_I,Brazil,2316,2315.999999999991
Ampicillin_I,Canada,2673,2672.999999999992
Ampicillin_I,Chile,2046,2045.9999999999877
Ampicillin_I,China,5346,5345.999999999995
Ampicillin_I,Colombia,2081,2080.9999999999914
Ampicillin_I,Costa Rica,139,138.99999999999912
