term,estimate,std.error,statistic,p.value,Drug,Model
SpeciesAchromobacter xylosoxidans,32.398014729786645,1562.4048946474863,0.020735991573487975,0.9834562580624768,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter anitratus,14.534762808137357,1455.3969748381483,0.009986802954399255,0.9920318165638915,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter baumannii,16.245971276478816,1455.3967817206963,0.011162571939503273,0.9910937411487833,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter baylyi,1.5657497877297555,1469.715556644315,0.0010653420525157315,0.9991499801851125,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter beijerinckii,1.3193253601023212,2058.242399509138,6.409961044515271e-4,0.9994885591397464,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter bereziniae,13.567136520724942,1455.3969670627366,0.009321949150482265,0.9925622684179757,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter calcoaceticus,12.4716619122149,1455.3971307612912,0.00856925003396922,0.993162811378464,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter courvalinii,2.154941835158303,2058.2423993109373,0.0010469815585762584,0.9991646297315847,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter dijkshoorniae,12.797186974810183,1455.3969613625607,0.008792918574482455,0.9929843564280416,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter guillouiae,12.51936841649874,1455.3971325345362,0.008602029052164329,0.9931366584698541,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter haemolyticus,13.479342596820178,1455.3968281120349,0.009261627026015858,0.992610396432088,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter johnsonii,13.328844868451815,1455.3969011389213,0.00915821990415214,0.9926928998789071,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter junii,12.337195972140275,1455.3968990972812,0.00847686014707912,0.9932365251653373,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter lwoffii,11.645100630158991,1455.3969550522881,0.008001322656155082,0.9936159363059227,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter nosocomialis,14.796180835091068,1455.3967883945081,0.010166423997275121,0.991888506983057,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter parvus,1.939795445198685,1484.5618157870101,0.0013066451154614548,0.9989574483325866,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter pitii,12.939155755376223,1455.3967923658713,0.008890466038709983,0.9929065278546241,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter radioresistens,12.138258739409778,1455.3971307463996,0.008340169485688541,0.9933455846780899,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter schindleri,0.9828391724762189,1496.861440014412,6.565999672399577e-4,0.9994761090611591,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter seifertii,1.2818091876921944,1539.2489251660895,8.32749769537038e-4,0.9993355618926691,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter spp,1.1954389977408337,1504.2834216492383,7.946900035833677e-4,0.9993659291822559,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter tjernbergiae,2.149751158175757,1501.9437903286555,0.0014313126576496903,0.9988579781187146,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter towneri,2.124078978504796,1593.246088497687,0.0013331769610730037,0.9989362790010444,Amikacin_I,Species+Country+Gender+Age
SpeciesAcinetobacter ursingii,13.324614570288475,1455.39683269968,0.00915531370614024,0.9926952185922215,Amikacin_I,Species+Country+Gender+Age
"SpeciesAcinetobacter, non-speciated",16.20449272760147,1455.39678550633,0.011134072088776776,0.9911164793266104,Amikacin_I,Species+Country+Gender+Age
SpeciesAeromonas caviae,0.25161097247343356,1600.8521467580497,1.571731486777096e-4,0.9998745939718137,Amikacin_I,Species+Country+Gender+Age
SpeciesAeromonas hydrophila,6.392129094863232e-7,2058.242397217277,3.1056250242951593e-10,0.999999999752207,Amikacin_I,Species+Country+Gender+Age
SpeciesAeromonas spp,1.0244357620449278,2058.242399473937,4.977235734269014e-4,0.9996028740616116,Amikacin_I,Species+Country+Gender+Age
SpeciesAeromonas veronii,0.8750755449027526,1782.407004035339,4.909515856488426e-4,0.9996082773254454,Amikacin_I,Species+Country+Gender+Age
SpeciesBordetella trematum,0.31783452953890046,2058.242402376998,1.544203584436136e-4,0.9998767903806138,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter amalonaticus,12.71223308909777,1455.396960326012,0.0087345469556636985,0.9930309284530093,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter braakii,10.379559081814806,1455.3971271145308,0.007131771039285553,0.9943097182332825,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter diversus,-0.7611648040614596,1508.312222563549,-5.046467121825566e-4,0.99959735019678,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter farmeri,12.974522674217777,1455.3969630053045,0.008914765527218219,0.9928871404362137,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter freundii,12.543795665952933,1455.3967857314253,0.008618815012463364,0.9931232657077681,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter gillenii,0.9560324827026415,1614.9145453403285,5.920019021818684e-4,0.9995276508498736,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter koseri,11.13483902071809,1455.3968047017313,0.007650723833353517,0.9938956651258829,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter murliniae,1.2584000831593372,1549.3082822638175,8.122334964353181e-4,0.9993519315046849,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter sedlakii,13.607402052896026,1455.3969714730795,0.00934961547922097,0.992540194843374,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter spp,0.7482580930515669,1668.844297281411,4.483690265595766e-4,0.9996422532881525,Amikacin_I,Species+Country+Gender+Age
SpeciesCitrobacter youngae,0.8491110823733182,1564.4120043871183,5.427669181725374e-4,0.9995669346771388,Amikacin_I,Species+Country+Gender+Age
"SpeciesCitrobacter, non-speciated",13.243658706355212,1455.3968233627163,0.009099689166392118,0.992739598704962,Amikacin_I,Species+Country+Gender+Age
SpeciesCronobacter sakazakii,0.5999857637988979,1780.2260628861775,3.3702785073608894e-4,0.999731090686428,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter agglomerans,14.638390547431184,1455.3968250356152,0.010058006377108158,0.9919750073055246,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter asburiae,11.764728811736815,1455.3968083163847,0.008083519727754764,0.9935503546525313,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter bugandensis,0.5550935553001061,1512.7878856931777,3.669341621186737e-4,0.9997072289037842,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter cancerogenus,1.3103990589547874,1508.383804361294,8.68743787334457e-4,0.9993068428319819,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter cloacae,12.941809882522051,1455.3967821816354,0.008892289745977257,0.9929050728042689,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter gergoviae,0.22612351355826596,2058.2423983502026,1.0986243104287265e-4,0.9999123424626349,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter hormaechi,0.9033267290060255,1473.9424596235622,6.128643103454194e-4,0.9995110050595196,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter intermedium,2.3414647611166686,1679.2721717580637,0.0013943330929287907,0.9988874835130215,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter kobei,12.505102362860725,1455.3968136648525,0.008592228762251769,0.9931444776809,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter ludwigii,1.2095812426910841,1459.3710368293255,8.288373636077208e-4,0.9993386835398784,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter sakazakii,1.4539374812505372,1477.650679832852,9.839520944253232e-4,0.9992149199419691,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter spp,2.1621939541029986,1542.4808560971364,0.0014017638828749497,0.9988815546062431,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter taylorae,0.5527082987661339,1575.9518592013806,3.507139482333051e-4,0.9997201707611829,Amikacin_I,Species+Country+Gender+Age
SpeciesEnterobacter xiangfangensis,0.5294086525330078,1502.2253395002322,3.524162711229023e-4,0.9997188125041158,Amikacin_I,Species+Country+Gender+Age
"SpeciesEnterobacter, non-speciated",12.014157210260787,1455.3968139229275,0.00825490140924344,0.993413616417792,Amikacin_I,Species+Country+Gender+Age
SpeciesEscherichia coli,13.01678029436135,1455.3967817456876,0.0089438017574480725,0.992863973799991,Amikacin_I,Species+Country+Gender+Age
SpeciesEscherichia hermanii,0.5350701649638597,1776.1615943280347,3.01250835888212e-4,0.9997596366127515,Amikacin_I,Species+Country+Gender+Age
SpeciesEscherichia vulneris,1.3846218882163919,2058.242399357814,6.727205156440289e-4,0.9994632467273171,Amikacin_I,Species+Country+Gender+Age
SpeciesHafnia alvei,-0.41769854818132207,1676.0576278892433,-2.4921490838435796e-4,0.9998011552743366,Amikacin_I,Species+Country+Gender+Age
SpeciesKlebsiella aerogenes,12.513817028333044,1455.396784127389,0.008598216764534039,0.99313970012281,Amikacin_I,Species+Country+Gender+Age
SpeciesKlebsiella ornithinolytica,1.9073381660207849,1543.5849541619502,0.0012356548053141171,0.9990140903592462,Amikacin_I,Species+Country+Gender+Age
SpeciesKlebsiella oxytoca,12.233388408087079,1455.396784790474,0.008405534858899841,0.9932934324840905,Amikacin_I,Species+Country+Gender+Age
SpeciesKlebsiella ozaenae,1.3881502076871346,1562.3739503796153,8.884878087924156e-4,0.9992910893881732,Amikacin_I,Species+Country+Gender+Age
SpeciesKlebsiella planticola,16.21011115589079,1455.3970755060914,0.011137930279442109,0.9911134011267163,Amikacin_I,Species+Country+Gender+Age
