term,estimate,std.error,statistic,p.value,Drug,Model
CountryAustralia,-2.1035696296387414,0.14901137337482007,-14.116839419682863,2.9910825262490653e-45,Amikacin_I,Species+Country+Gender+Age
CountryAustria,-1.0605127180426828,0.14351273340994652,-7.38967681016367,1.471861274506096e-13,Amikacin_I,Species+Country+Gender+Age
CountryBelgium,-1.265456690392292,0.08236273046923108,-15.364433441956358,2.8350614227613826e-53,Amikacin_I,Species+Country+Gender+Age
CountryBrazil,-0.3790188696198932,0.0783380579711872,-4.838246944534885,1.30989332480844e-6,Amikacin_I,Species+Country+Gender+Age
CountryCanada,-2.8512662017232397,0.17496809567152774,-16.295920640732113,1.055029470013038e-59,Amikacin_I,Species+Country+Gender+Age
CountryColombia,-0.1648447145747622,0.07944635995072435,-2.0749184062933175,0.03799409750676949,Amikacin_I,Species+Country+Gender+Age
CountryCosta Rica,-1.4703005870207018,0.39934512577696607,-3.6817792233223936,2.3161194001788447e-4,Amikacin_I,Species+Country+Gender+Age
CountryCzech Republic,-1.5292272580718487,0.10135464952896056,-15.08788462274634,1.9458123021216786e-51,Amikacin_I,Species+Country+Gender+Age
CountryDenmark,-2.6080746905816703,0.25114156663203424,-10.384878638600476,2.9053859621465833e-25,Amikacin_I,Species+Country+Gender+Age
CountryFinland,-2.637093291384776,0.45737937785845234,-5.765658486248786,8.133962284868428e-9,Amikacin_I,Species+Country+Gender+Age
CountryFrance,-1.903395303674425,0.07723274627877776,-24.644925829828296,4.1712501419603107e-134,Amikacin_I,Species+Country+Gender+Age
CountryGermany,-2.0357766387358023,0.08328918023778947,-24.442270087467396,6.081044596932966e-132,Amikacin_I,Species+Country+Gender+Age
CountryGreece,0.6315379248262287,0.0633770391356102,9.96477483706526,2.1736583320340095e-23,Amikacin_I,Species+Country+Gender+Age
CountryGuatemala,0.24852046653819682,0.11394170510061011,2.181119426980263,0.029174584291826063,Amikacin_I,Species+Country+Gender+Age
CountryHong Kong,-1.799877141093646,0.2031509054178719,-8.859803688255207,8.015546332076909e-19,Amikacin_I,Species+Country+Gender+Age
CountryHungary,-0.8838948492978214,0.09109023626117407,-9.703508142887198,2.9130652135887334e-22,Amikacin_I,Species+Country+Gender+Age
CountryIndia,1.0334661953125626,0.08237745356819318,12.545498198205959,4.207597479108723e-36,Amikacin_I,Species+Country+Gender+Age
CountryIreland,-1.9395825670666782,0.1824270309239812,-10.63210072127369,2.1129851231389495e-26,Amikacin_I,Species+Country+Gender+Age
CountryIsrael,-0.9527214809116596,0.09472748787588373,-10.057497588872607,8.513480250499393e-24,Amikacin_I,Species+Country+Gender+Age
CountryJapan,-3.596651081382855,0.3242500374229896,-11.092214853597577,1.3685664915612542e-28,Amikacin_I,Species+Country+Gender+Age
CountryJordan,-0.46223303694642875,0.17095398881191096,-2.7038447020677143,0.006854231493912123,Amikacin_I,Species+Country+Gender+Age
CountryKenya,0.5068728190201709,0.1688728943106479,3.00150489567473,0.00268648719457088,Amikacin_I,Species+Country+Gender+Age
"CountryKorea, South",-0.360342623361329,0.08265179201420514,-4.359767823296534,1.3020051307131216e-5,Amikacin_I,Species+Country+Gender+Age
CountryKuwait,-0.3078027280490251,0.08278271486908537,-3.71820045447642,2.0064702965290739e-4,Amikacin_I,Species+Country+Gender+Age
CountryLatvia,-0.9904160621462333,0.15811789171158688,-6.263782367859991,3.7574979950966497e-10,Amikacin_I,Species+Country+Gender+Age
CountryLithuania,-0.38027564945592446,0.14886609786916546,-2.5544812076026795,0.010634617015628529,Amikacin_I,Species+Country+Gender+Age
CountryMalaysia,-0.6221294674426215,0.11666879448725599,-5.332441036841074,9.690123876781455e-8,Amikacin_I,Species+Country+Gender+Age
CountryMorocco,-0.3786182064672806,0.14083594475427957,-2.688363451020025,0.007180319601734031,Amikacin_I,Species+Country+Gender+Age
CountryNetherlands,-2.4340436043480693,0.21781858095575188,-11.174637139163652,5.427172297239154e-29,Amikacin_I,Species+Country+Gender+Age
CountryPanama,-1.2256083973269567,0.18233181413895536,-6.721857088488785,1.794228900865149e-11,Amikacin_I,Species+Country+Gender+Age
CountryPhilippines,-0.9247248004997082,0.09523640582218987,-9.70978264578995,2.739206068346116e-22,Amikacin_I,Species+Country+Gender+Age
CountryPortugal,-1.019883095764672,0.08090404821659372,-12.606082368514784,1.9547055027556254e-36,Amikacin_I,Species+Country+Gender+Age
CountryRomania,0.4650898593797013,0.08788182289062484,5.29221907422811,1.2084101064956156e-7,Amikacin_I,Species+Country+Gender+Age
CountryRussia,0.6390949610322683,0.06403087795954988,9.981043230986192,1.8451644557962712e-23,Amikacin_I,Species+Country+Gender+Age
CountrySerbia,1.0414431727131965,0.23492323374075763,4.433121220621581,9.287861040915662e-6,Amikacin_I,Species+Country+Gender+Age
CountrySingapore,-1.2846606496307424,0.23654496763890995,-5.430936292805854,5.6059146042247025e-8,Amikacin_I,Species+Country+Gender+Age
CountrySouth Africa,-0.8388713930262772,0.08766968418133364,-9.56854585321852,1.0841981041312141e-21,Amikacin_I,Species+Country+Gender+Age
CountrySpain,-1.7013649851973147,0.06955610211504944,-24.46032675009833,3.907632214499575e-132,Amikacin_I,Species+Country+Gender+Age
CountrySweden,-2.071015060481742,0.26566506183410793,-7.795586842258422,6.410982887982881e-15,Amikacin_I,Species+Country+Gender+Age
CountrySwitzerland,-2.5303589234396333,0.2536880074536713,-9.974294602403424,1.9749980527226363e-23,Amikacin_I,Species+Country+Gender+Age
CountryTaiwan,-1.0305168212446985,0.09765779218472623,-10.55232560751944,4.955507523063693e-26,Amikacin_I,Species+Country+Gender+Age
CountryThailand,-0.6730834981988086,0.09258979851806201,-7.269521145653066,3.6076405050450483e-13,Amikacin_I,Species+Country+Gender+Age
CountryTurkey,-0.17728900134363348,0.08081262855581449,-2.193827926549699,0.028247782356381333,Amikacin_I,Species+Country+Gender+Age
CountryUkraine,0.9824042293284116,0.16361019289176199,6.004541721788271,1.918730724762095e-9,Amikacin_I,Species+Country+Gender+Age
CountryUnited Kingdom,-1.7820678839940391,0.11238217807265935,-15.857210765588334,1.2533810721058681e-56,Amikacin_I,Species+Country+Gender+Age
CountryUnited States,-1.8826362780074857,0.059774593342421814,-31.49559324013645,9.981256084734798e-218,Amikacin_I,Species+Country+Gender+Age
CountryVietnam,0.6772394599433276,0.25835328669967017,2.621369631463613,0.008757725071073724,Amikacin_I,Species+Country+Gender+Age
GenderMale,0.15191180738133003,0.01945677357270276,7.807656640176844,5.8261045878608346e-15,Amikacin_I,Species+Country+Gender+Age
`Age Group`13 to 18 Years,0.30643998544064194,0.08975610429848499,3.414140885856322,6.398348049981511e-4,Amikacin_I,Species+Country+Gender+Age
`Age Group`19 to 64 Years,0.481110927612858,0.052688719803962183,9.131194103840771,6.774785186075537e-20,Amikacin_I,Species+Country+Gender+Age
